id,Title,Content,SKU,"Product Type","Parent Product ID","Товар UWCF Colors","Товар UWCF Sizes","Product Attributes"
550,"Продаж магазина на Салтовке","<strong><em>Магазин расположен на 602-м микрорайоне на первом этаже фасадного новостроя в новом жилом квартале по адресу г. Харьков, ул. Салтовское шоссе №264-В . В квартале семнадцать девятиэтажных домов. Все дома сданы в эксплуатацию и заселены!</em></strong>
<strong><em>Фасад магазина выходит на Салтовское шоссе. В магазине оборудованы два отдельных входа - один на салтовское шоссе, второй к подъездной дороге дома.</em></strong>
<strong><em>Расположение отличается очень плотной заселенностью, близостью к новому высоной застройке и к кругу городского транспорта.</em></strong>

<strong><em>Рядом расположены</em></strong>
<strong><em>остановки и круг гор.транспорта</em></strong>
<strong><em>рынок</em></strong>
<strong><em>продмаркет АТБ</em></strong>
<strong><em>множество аптек</em></strong>
<strong><em>медкомплекс</em></strong>
<strong><em>новая заселенная высотная застройка и огромный спальный район</em></strong>

<strong><em>Есть все коммуникации: отопление центральное (установлен индивидуальный счетчик тепла), установлены два кондиционера.</em></strong>
<strong><em>Сделан капитальный ремонт.</em></strong>
<strong><em>Установлен пандус</em></strong>",,simple,0,,,
573,"Аренда магазина в районе КЛАССа на Салтовке","<h4><em>Аренда капитального магазина, расположенного в центре спального района на пересечении основных аллей по адресу г. Харьков, ул. Амосова (Корчагинцев) №11-Б.</em>
<em>Помещение расположено в центре насыченого спального района - Салтовка.</em>
<em>Рядом расположены</em>
<em>супермаркет “КЛАСС”</em>
<em>кофейня</em>
<em>магазины ""Кисет"" и ""Посад""</em>
<em>остановки гор. транспорта</em>
<em>Укртелеком</em>
<em>Фрунзенский РОВД</em>
<em>несколько школ и детсадов</em>
<em>рынок</em></h4>
<h4><em>Состояние - сделан ремонт, пол - плитка, стены выровнены и окрашены, потолок системы армстронг, есть вода и канализация.</em>
<em>Мощность электроввода - 10 кВт.</em></h4>
<h4><em>Площадь - 25 кв. м.</em></h4>",,simple,0,,,
574,"Аренда на Научной","<h4><em>Аренда помещения, расположенного напротив Экономического университета (ИНЖЭК) (станция метро ""Научная"").</em>
<em>Рядом расположены</em>
<em>станция метро “Научная”</em>
<em>остановка гор. транспорта</em>
<em>McDonald’s</em>
<em>детский магазин “Антошка”</em>
<em>Экономический Университет</em>
<em>Университет радиоэлектроники</em>
<em>Сделан ремонт, есть санузел, отопление электрическое.</em></h4>",,simple,0,,,
575,"Аренда в центре Харькова на пл. Павловской","<h4><em>Помещение расположено на первом этаже по адресу г. Харьков, пл. Павловская, 5</em>
<em>Рядом с магазином расположены</em>
<em>- ГорБТИ</em>
<em>- McDonald’s</em>
<em>- Центральный универмаг, ТЦ “Павловский”, ТРЦ “Палладиум”</em>
<em>- Ресторан “Панорама”</em>
<em>- Ряд магазинов «ассорти» и монобрендовых бутиков</em>
<em>Площадь - 148,1 кв. м.</em>
<em>1-й этаж - 75 кв. м.</em>
<em>подвал - 73,1 кв. м.</em></h4>",,simple,0,,,
576,"Аренда под склад/производство на Салтовке","<h3><em>Помещение расположено на цокольном этаже нежилого дома по адресу ул. Самсоновская, 54.</em>
<em>На всех этажах расположены производственные предприятия. Есть два асфальтированных подъезда.</em>
<em>Рядом с помещением расположена одно-двух этажная застройка.</em>
<em>Электрическая мощность - 40 кВт, есть второй выход.</em></h3>",,simple,0,,,
577,"Продажа помещения на Московском проспекте в районе метро ""Армейская""","<h3><em>Продажа двух смежных 2-х комнатных квартир в жилом фонде, расположенных по ул. Харьковских Дивизий возле Звезды</em>
<em>Квартиры без ремонта, в одной демонтированы все перегородки. Сейчас квартиры находятся в жилом фонде.</em>
<em>Рядом расположены</em>
<em>станции метро ""Армейская"" и ""Дворец спорта""</em>
<em>супермаркет ""Сельпо""</em>
<em>мебельный центр ""Шанс""</em>
<em>остановки гор. транспорта</em>
<em>спальный микрорайон</em>
<em>школы и детские сады</em></h3>",,simple,0,,,
580,"Продажа земельного участка с бетонным покрытием в г. Первомайский","<h3><em>Продажа земельного участка, расположенного в городе Первомайский Харьковской области. К участку ведет асфальтированная дорога, коммуникации проходят рядом с участком.</em>
<em>Треть земельного участка покрыта бетонной стяжкой с подсыпкой. В 500-та метрах расположена ж/д ветка с козловым краном.</em>
<em>Площадь - 2 Га.</em></h3>",,simple,0,,,
592,"Аренда на Холодной Горе возле Терминала","<h4><em>Аренда помещения, расположенного по адресу г. Харьков, ул. Полтавский шлях №123.</em>
<em>Помещение расположено на очень проходной аллее. Рядом перекресток с плотным автомобильным трафиком, пригородная автостанция и остановки общественного транспорта.</em>
<em>В непосредственной близости расположены</em>
<em>станция метро ""Холодная гора""</em>
<em>рынок Терминал</em>
<em>остановки гор.транспорта</em>
<em>автостанция</em>
<em>торгово-экономический колледж</em>
<em>остановки гор.транспорта</em></h4>",,simple,0,,,
602,"Аренда помещения на Роганском жилмассиве","<h4><em>Помещение расположено на первом этаже нежилого здания.</em>
<em>В непосредственной близости к помещению расположены:</em>
<em>рынок</em>
<em>остановки общественного транспорта</em>
<em>отделение ""Укрпошты""</em>
<em>абонентский отдел теплосбыта Роганского промузла (теплосети)</em>
<em>отделение банка “Приват банк”</em>
<em>супермаркет “Класс”</em>
<em>облагороженный сквер - место прогулок местного населения.</em>
<em>В помещении сделан ремонт.</em></h4>",,simple,0,,,
620,"Аренда в Дергачах","Аренда здания по адресу г. Дергачи, ул. Покровского (Сумской шлях), 163.
Здание расположено в самом проходном месте напротив рынка
Рядом расположены
рынок
жд вокзал",,simple,0,,,
